step,phase,loss,momentum,divergence,ic
43,adam,0.11835555935476048,0.1175683503721104,0.0007872089826500839,0.0
44,adam,0.11897698251757631,0.11785694536772288,0.0011200371498534252,0.0
45,adam,0.11342408802373884,0.11225924633190879,0.0011648416918300453,0.0
46,adam,0.11314721887061217,0.11200801131580755,0.0011392075548046158,0.0
47,adam,0.11656755389876679,0.11531116507523298,0.001256388823533805,0.0
48,adam,0.11442834218348993,0.11309230480703929,0.0013360373764506482,0.0
49,adam,0.1110813917088136,0.1098407427807041,0.0012406489281095014,0.0
50,adam,0.1134728663410715,0.11215257760627481,0.0013202887347966911,0.0
51,adam,0.11510431153377289,0.11384449277941144,0.0012598187543614433,0.0
52,adam,0.11302843742415375,0.11175535151893323,0.0012730859052205194,0.0
53,adam,0.11336522652632933,0.1121334782948874,0.001231748231441928,0.0
54,adam,0.1108182065837436,0.10936155496072608,0.0014566516230175206,0.0
55,adam,0.10639984878642612,0.10507701616340162,0.0013228326230245073,0.0
56,adam,0.1089025280472038,0.10752750923105109,0.0013750188161527068,0.0
57,adam,0.10674858124940972,0.10557534596977222,0.0011732352796374993,0.0
58,adam,0.11051837049809105,0.10907187030532606,0.0014465001927649896,0.0
59,adam,0.10933522966608607,0.10818782683773383,0.0011474028283522438,0.0
60,adam,0.10691203717140121,0.10551854437068946,0.0013934928007117554,0.0
61,adam,0.10775524788949314,0.10622862393014947,0.0015266239593436808,0.0
62,adam,0.11068263061842425,0.10898689805217197,0.0016957325662522757,0.0
63,adam,0.10030504362551763,0.09879049255519604,0.0015145510703215928,0.0
64,adam,0.10320970903706114,0.10179283055273522,0.0014168784843259195,0.0
65,adam,0.09970429641203818,0.09818992242908052,0.0015143739829576587,0.0
66,adam,0.10421828849404648,0.10276642987443768,0.0014518586196087951,0.0
67,adam,0.09314137174266239,0.0912874859456001,0.0018538857970622886,0.0
68,adam,0.09732605090007587,0.0956201321904197,0.0017059187096561696,0.0
69,adam,0.10488245024547008,0.10307887006937119,0.0018035801760988871,0.0
70,adam,0.10177963192424354,0.09986274647269083,0.0019168854515527055,0.0
71,adam,0.10131600500400419,0.09928331037550674,0.002032694628497449,0.0
72,adam,0.09405580695618815,0.09202717927245085,0.0020286276837372975,0.0
73,adam,0.09448656660814392,0.0920612380459852,0.00242532856215871,0.0
74,adam,0.09185526237123837,0.08959957246908985,0.002255689902148509,0.0
75,adam,0.09454773979094692,0.09232675590209255,0.0022209838888543718,0.0
76,adam,0.0909525089633854,0.08843250097120219,0.0025200079921832213,0.0
77,adam,0.09448900108184244,0.09178934683073145,0.0026996542511109906,0.0
78,adam,0.09369239131371883,0.09116284515271278,0.0025295461610060463,0.0
79,adam,0.0910751866819974,0.08853896990223062,0.002536216779766785,0.0
80,adam,0.09146409831901117,0.08847737174750817,0.0029867265715030115,0.0
81,adam,0.09072975535595834,0.0876323762235088,0.0030973791324495313,0.0
82,adam,0.0901651387446771,0.08730075574612374,0.0028643829985533584,0.0
83,adam,0.08616363441314118,0.08311416263656665,0.003049471776574519,0.0
84,adam,0.08546010259327265,0.08219944955021775,0.003260653043054891,0.0
85,adam,0.08269483206413926,0.07998825674049573,0.002706575323643532,0.0
86,adam,0.08664514526693519,0.08358589327889575,0.0030592519880394417,0.0
